Player,followers_in_team
Kyrie Irving,7
Kevin Love,7
Mo Williams,2
Tristan Thompson,7
Anderson Varejao,7
Matthew Dellavedova,5
J.R. Smith,8
Jared Cunningham,1
LeBron James,7
Al Horford,8
Lamar Patterson,6
Shelvin Mack,8
Justin Holiday,6
Mike Muscala,8
Dennis Schroder,4
Walter Tavares,6
Tiago Splitter,6
Kyle Korver,9
Mike Scott,6
Paul Millsap,10
Amir Johnson,6
Jae Crowder,5
David Lee,1
Jared Sullinger,7
Evan Turner,4
Jordan Mickey,4
James Young,2
R.J. Hunter,7
Kelly Olynyk,6
Terry Rozier,5
Marcus Smart,6
Rashad Vaughn,1
Jerryd Bayless,1
Tyler Ennis,5
Michael Carter-Williams,4
Damien Inglis,1
Miles Plumlee,2
Greivis Vasquez,3
John Henson,6
Greg Monroe,3
Khris Middleton,4
Jabari Parker,5
Nate Robinson,4
Dante Cunningham,4
Jrue Holiday,4
Ryan Anderson,8
Alonzo Gee,3
Bryce Dejean-Jones,0
Eric Gordon,8
Tyreke Evans,6
Norris Cole,5
Alexis Ajinca,6
Jimmer Fredette,4
Anthony Davis,8
Reggie Jackson,9
Andre Drummond,9
Kentavious Caldwell-Pope,9
Marcus Morris,8
Aron Baynes,6
Stanley Johnson,9
Spencer Dinwiddie,8
Ersan Ilyasova,1
Reggie Bullock,8
Anthony Tolliver,7
Steve Blake,4
Jodie Meeks,8
Cleanthony Early,7
Jerian Grant,7
Kyle O'Quinn,7
Kevin Seraphin,7
Jose Calderon,6
Carmelo Anthony,8
Sasha Vujacic,6
Kristaps Porzingis,7
Langston Galloway,7
Luol Deng,3
Dwyane Wade,8
Tyler Johnson,7
Goran Dragic,7
Justise Winslow,6
Chris Bosh,8
Mario Chalmers,6
Amar'e Stoudemire,3
Josh Richardson,5
Hassan Whiteside,7
Udonis Haslem,7
Cory Joseph,4
Bismack Biyombo,4
DeMarre Carroll,5
Anthony Bennett,2
Kyle Lowry,8
James Johnson,6
Delon Wright,5
Patrick Patterson,6
Bruno Caboclo,4
Norman Powell,6
DeMar DeRozan,6
Luis Scola,2
Jonas Valanciunas,7
Terrence Ross,8
Adreian Payne,0
Andrew Wiggins,6
Damjan Rudez,1
Tyus Jones,7
Zach LaVine,6
Gorgui Dieng,5
Ricky Rubio,6
Shabazz Muhammad,6
Nemanja Bjelica,1
Karl-Anthony Towns,7
T.J. Warren,7
Markieff Morris,5
Eric Bledsoe,7
Mirza Teletovic,4
Brandon Knight,5
Tyson Chandler,0
Alex Len,5
Devin Booker,5
Lorenzo Brown,1
Archie Goodwin,7
Cory Jefferson,1
Jon Leuer,0
Ian Mahinmi,6
Shayne Whittington,8
Lavoy Allen,3
Myles Turner,6
George Hill,6
Chase Budinger,3
Solomon Hill,6
Paul George,8
Glenn Robinson III,5
C.J. Miles,7
Derrick Rose,8
Pau Gasol,7
Joakim Noah,9
Doug McDermott,7
Cristiano Felicio,3
Bobby Portis,2
Jimmy Butler,9
E'Twaun Moore,7
Nikola Mirotic,7
Taj Gibson,9
Aaron Brooks,5
Bradley Beal,6
Jared Dudley,6
Gary Neal,0
Nene Hilario,4
Garrett Temple,6
Jarell Eddie,1
Kelly Oubre,5
Marcin Gortat,7
John Wall,10
Kris Humphries,5
Drew Gooden,7
Stephen Curry,13
Draymond Green,13
Ian Clark,7
Festus Ezeli,11
Shaun Livingston,11
Marreese Speights,13
Andrew Bogut,11
Klay Thompson,12
James Michael McAdoo,9
Leandro Barbosa,10
Andre Iguodala,12
Brandon Rush,10
Jason Thompson,11
Harrison Barnes,13
Jarell Martin,5
James Ennis,4
Zach Randolph,10
Ryan Hollins,6
Elliot Williams,2
Mike Conley,9
Marc Gasol,10
Matt Barnes,3
Courtney Lee,7
Brandan Wright,10
Jarnell Stokes,6
Tony Allen,13
Vince Carter,11
Beno Udrih,10
JaMychal Green,8
Jordan Adams,9
Russell Westbrook,10
Mitch McGary,8
Kevin Durant,10
Serge Ibaka,8
Anthony Morrow,8
Cameron Payne,7
Enes Kanter,7
Nick Collison,9
Dion Waiters,4
Kyle Singler,4
Steven Adams,9
Andre Roberson,8
Trey Lyles,4
Derrick Favors,7
Trey Burke,5
Gordon Hayward,7
Trevor Booker,8
Elijah Millsap,5
Rudy Gobert,9
Jeff Withey,0
Alec Burks,9
Joe Ingles,7
Raul Neto,4
Nick Young,10
Metta World Peace,1
Marcelo Huertas,5
Julius Randle,8
Anthony Brown,6
Larry Nance Jr.,9
Jordan Clarkson,9
Ryan Kelly,7
Kobe Bryant,9
Lou Williams,5
D'Angelo Russell,9
Robert Sacre,5
Roy Hibbert,0
JaVale McGee,2
Justin Anderson,8
Dwight Powell,8
Devin Harris,7
Chandler Parsons,11
Zaza Pachulia,6
J.J. Barea,6
Jeremy Evans,3
John Jenkins,6
Dirk Nowitzki,11
Wesley Matthews,6
Salah Mejri,1
Charlie Villanueva,9
Raymond Felton,4
Dewayne Dedmon,7
Jason Smith,2
Shabazz Napier,2
C.J. Watson,4
Nikola Vucevic,9
Andrew Nicholson,6
Elfrid Payton,7
Tobias Harris,10
Keith Appling,0
Evan Fournier,6
Aaron Gordon,9
Devyn Marble,7
Victor Oladipo,10
Tony Parker,5
Boris Diaw,6
Danny Green,6
David West,2
Manu Ginobili,6
Ray McCallum,2
Kyle Anderson,2
Rasual Butler,1
Patrick Mills,6
Cody Zeller,3
Spencer Hawes,2
Nicolas Batum,2
Jeremy Lin,4
Frank Kaminsky,3
Kemba Walker,4
P.J. Hairston,0
Aaron Harrison,0
Jamal Crawford,10
Chris Paul,11
DeAndre Jordan,10
Austin Rivers,6
Blake Griffin,11
J.J. Redick,6
Cole Aldrich,4
Pablo Prigioni,5
Branden Dawson,4
Lance Stephenson,3
C.J. Wilcox,3
Paul Pierce,7
Luc Mbah a Moute,1
Damian Lillard,11
Cliff Alexander,6
Allen Crabbe,6
Al-Farouq Aminu,6
Meyers Leonard,8
Tim Frazier,9
C.J. McCollum,12
Maurice Harkless,8
Ed Davis,7
Noah Vonleh,4
Pat Connaughton,8
Gerald Henderson,7
Mason Plumlee,5
Omri Casspi,7
Kosta Koufos,1
Willie Cauley-Stein,2
DeMarcus Cousins,8
Eric Moreland,4
Seth Curry,4
Caron Butler,3
Darren Collison,5
Rajon Rondo,6
Marco Belinelli,2
Quincy Acy,5
Ben McLemore,7
Tony Wroten,5
Nik Stauskas,6
Ish Smith,3
Richaun Holmes,5
Nerlens Noel,7
Christian Wood,5
Isaiah Canaan,10
Jerami Grant,6
Robert Covington,8
Phil Pressey,1
Jahlil Okafor,9
Willie Reed,6
Donald Sloan,1
Sergey Karasev,4
Wayne Ellington,6
Markel Brown,3
Andrea Bargnani,5
Bojan Bogdanovic,4
Thomas Robinson,6
Shane Larkin,6
Thaddeus Young,6
Joe Johnson,4
Darrell Arthur,3
Gary Harris,6
Kostas Papanikolaou,0
Emmanuel Mudiay,5
Jusuf Nurkic,5
Kenneth Faried,5
Joffrey Lauvergne,1
Jameer Nelson,2
Sean Kilpatrick,0
Erick Green,4
Will Barton,3
Jason Terry,6
Montrezl Harrell,3
Chuck Hayes,2
K.J. McDaniels,7
James Harden,8
Dwight Howard,9
Marcus Thornton,0
Terrence Jones,5
Sam Dekker,6
Trevor Ariza,7
Ty Lawson,6
Clint Capela,3
Patrick Beverley,8
