team,winodds,avg_followed,avg_following,conference
SAC,0.426,4.5,583.75,W
DAL,0.56,6.285714285714286,363.35714285714283,W
CHO,0.479,2.25,473.125,E
BRK,0.25,4.636363636363637,414.27272727272725,E
UTA,0.457,5.909090909090909,289.45454545454544,W
GSW,0.917,11.142857142857142,688.7142857142857,W
DET,0.521,7.166666666666667,544.25,E
MIA,0.563,6.090909090909091,408.3636363636364,E
NOP,0.391,5.0,591.3333333333334,W
CHI,0.565,6.636363636363637,444.1818181818182,E
PHO,0.286,3.9166666666666665,343.25,W
IND,0.532,5.8,426.5,E
POR,0.469,7.461538461538462,971.8461538461538,W
ORL,0.457,6.076923076923077,358.0,E
BOS,0.551,4.818181818181818,872.0909090909091,E
NYK,0.46,6.888888888888889,904.5555555555555,E
ATL,0.551,7.0,338.27272727272725,E
LAL,0.18,6.384615384615385,377.53846153846155,W
CLE,0.739,5.666666666666667,600.8888888888889,E
MIN,0.286,4.5,237.9,W
TOR,0.681,5.214285714285714,350.0,E
WAS,0.467,5.181818181818182,600.0,E
MEM,0.583,7.6875,1065.125,W
LAC,0.667,6.230769230769231,517.7692307692307,W
PHI,0.146,5.909090909090909,439.6363636363636,E
HOU,0.5,5.384615384615385,1147.6923076923076,W
MIL,0.408,3.1818181818181817,493.90909090909093,E
OKC,0.735,7.666666666666667,943.4166666666666,W
DEN,0.375,3.090909090909091,574.3636363636364,W
SAS,0.83,4.0,576.4444444444445,W
