#	Team	W	L	PCT	GB	GP Team_abv	Conference
1	Cleveland Cavaliers	34	12	.739	–	46	CLE	E
2	Toronto Raptors	32	15	.681	2.5	47	TOR	E
3	Chicago Bulls	26	20	.565	8.0	46	CHI	E
4	Miami Heat	27	21	.563	8.0	48	MIA	E
5	Atlanta Hawks	27	22	.551	8.5	49	ATL	E
6	Boston Celtics	27	22	.551	8.5	49	BOS	E
7	Indiana Pacers	25	22	.532	9.5	47	IND	E
8	Detroit Pistons	25	23	.521	10.0	48	DET	E
9	Charlotte Hornets	23	25	.479	12.0	48	CHO	E
10	Washington Wizards	21	24	.467	12.5	45	WAS	E
11	New York Knicks	23	27	.460	13.0	50	NYK	E
12	Orlando Magic	21	25	.457	13.0	46	ORL	E
13	Milwaukee Bucks	20	29	.408	15.5	49	MIL	E
14	Brooklyn Nets	12	36	.250	23.0	48	BRK	E
15	Philadelphia 76ers	7	41	.146	28.0	48	PHI	E
1	Golden State Warriors	44	4	.917	–	48	GSW	W
2	San Antonio Spurs	39	8	.830	4.5	47	SAS	W
3	Oklahoma City Thunder	36	13	.735	8.5	49	OKC	W
4	Los Angeles Clippers	32	16	.667	12.0	48	LAC	W
5	Memphis Grizzlies	28	20	.583	16.0	48	MEM	W
6	Dallas Mavericks	28	22	.560	17.0	50	DAL	W
7	Houston Rockets	25	25	.500	20.0	50	HOU	W
8	Portland Trail Blazers	23	26	.469	21.5	49	POR	W
9	Utah Jazz	21	25	.457	22.0	46	UTA	W
10	Sacramento Kings	20	27	.426	23.5	47	SAC	W
11	New Orleans Pelicans	18	28	.391	25.0	46	NOP	W
12	Denver Nuggets	18	30	.375	26.0	48	DEN	W
13	Phoenix Suns	14	35	.286	30.5	49	PHO	W
14	Minnesota Timberwolves	14	35	.286	30.5	49	MIN	W
15	Los Angeles Lakers	9	41	.180	36.0	50	LAL	W
