Player,screen_name,Tm
Al Horford,Al_Horford,ATL
Dennis Schroder,DennisMike93,ATL
Justin Holiday,JustHolla7,ATL
Kyle Korver,KyleKorver,ATL
Lamar Patterson,LP21_,ATL
Mike Muscala,mikemuscala,ATL
Mike Scott,mikescott,ATL
Paul Millsap,Paulmillsap4,ATL
Shelvin Mack,ShelvinMack,ATL
Tiago Splitter,tiagosplitter,ATL
Walter Tavares,waltertavares22,ATL
Jae Crowder,CJC9BOSS,BOS
David Lee,Dlee042,BOS
Amir Johnson,IamAmirJohnson,BOS
Jared Sullinger,Jared_Sully0,BOS
Jordan Mickey,Jmickey_02,BOS
Kelly Olynyk,KellyOlynyk,BOS
James Young,realjamesyoung,BOS
R.J. Hunter,RJHunter22,BOS
Marcus Smart,smart_MS3,BOS
Terry Rozier,T_Rozzay3,BOS
Isaiah Thomas,Isaiah_Thomas,BOS
Evan Turner,thekidet,BOS
Bojan Bogdanovic,44Bojan,BRK
Andrea Bargnani,AndreaBargnani,BRK
Donald Sloan,dsloan15,BRK
Markel Brown,iMarkelBrown22,BRK
Shane Larkin,ShaneLarkin_3,BRK
Willie Reed,ShowtimeReed33,BRK
Sergey Karasev,SKgetbuckets,BRK
Joe Johnson,TheJoeJohnson7,BRK
Thomas Robinson,Trobinson0,BRK
Wayne Ellington,WayneElli22,BRK
Thaddeus Young,yungsmoove21,BRK
Bobby Portis,BPortistime,CHI
Doug McDermott,dougmcd3,CHI
Derrick Rose,drose,CHI
E'Twaun Moore,ETwaun55,CHI
Cristiano Felicio,felicio_21,CHI
Jimmy Butler,JimmyButler,CHI
Joakim Noah,JoakimNoah,CHI
Pau Gasol,paugasol,CHI
Taj Gibson,TajGibson22,CHI
Aaron Brooks,Thirty2zero,CHI
Nikola Mirotic,threekola,CHI
Aaron Harrison,AaronICE2,CHO
Cody Zeller,CodyZeller,CHO
Frank Kaminsky,FSKPart3,CHO
P.J. Hairston,hairston_pj,CHO
Jeremy Lin,JLin7,CHO
Kemba Walker,KembaWalker,CHO
Nicolas Batum,nicolas88batum,CHO
Spencer Hawes,spencerhawes00,CHO
Jared Cunningham,J1Flight,CLE
Kevin Love,kevinlove,CLE
LeBron James,KingJames,CLE
Kyrie Irving,KyrieIrving,CLE
Matthew Dellavedova,matthewdelly,CLE
Mo Williams,mowilliams,CLE
Tristan Thompson,RealTristan13,CLE
J.R. Smith,TheRealJRSmith,CLE
Anderson Varejao,VAREJAOANDERSON,CLE
Salah Mejri,50Mejri,DAL
Chandler Parsons,ChandlerParsons,DAL
Charlie Villanueva,CVBelieve,DAL
Devin Harris,Dev34Harris,DAL
Dwight Powell,DwightPowell33,DAL
JaVale McGee,JaValeMcGee34,DAL
Jeremy Evans,JeremyEvans40,DAL
J.J. Barea,jjbareapr,DAL
John Jenkins,JohnnyCashVU23,DAL
Justin Anderson,JusAnderson1,DAL
Raymond Felton,RFeltonGBMS,DAL
Dirk Nowitzki,swish41,DAL
Wesley Matthews,WessyWes23,DAL
Zaza Pachulia,zaza27,DAL
Joffrey Lauvergne,1JOLOLO,DEN
Darrell Arthur,DarrellArthur00,DEN
Emmanuel Mudiay,emmanuelmudiay,DEN
Erick Green,ErickGreen,DEN
