screen_name,created_time,tweet_num,followers,friends,favorites
IamAmirJohnson,2010-04-08,11,147936,1859,23
Dlee042,2009-05-15,3,341258,161,28
thekidet,2009-11-19,258,165768,2191,611
CJC9BOSS,2010-03-22,34,42329,477,17
realjamesyoung,2013-10-30,11,37287,164,545
Jared_Sully0,2010-03-03,157,183314,1158,187
Jmickey_02,2012-03-01,18,5265,245,267
KellyOlynyk,2011-04-13,43,47143,184,26
smart_MS3,2012-04-03,21,73402,1291,983
RJHunter22,2009-08-03,24,17060,977,1368
T_Rozzay3,2010-09-07,111,23719,883,834
AaronICE2,2010-09-06,107,181199,955,1894
CodyZeller,2011-03-01,15,105095,183,0
FSKPart3,2010-04-20,176,149319,780,1519
JLin7,2010-07-24,39,1504730,149,1
KembaWalker,2011-03-23,5,287772,236,5
nicolas88batum,2010-07-08,124,683457,656,7
hairston_pj,2015-06-29,6,1144,71,2
spencerhawes00,2011-02-02,78,51985,749,3049
DarrellArthur00,2013-12-06,11,3080,139,43
emmanuelmudiay,2015-01-28,8,26267,190,710
ErickGreen,2010-04-09,293,14647,1217,845
thats_G_,2010-03-25,107,49538,726,427
jameernelson,2009-05-21,7,116057,1294,27
1JOLOLO,2011-01-06,35,35430,156,952
nurkic23,2012-02-09,116,9863,84,900
KennethFaried35,2010-12-13,45,166709,443,169
PapanikolaouHub,2010-02-17,285,1208,754,0
SeanKilpatrick_,2010-10-17,639,40222,988,2412
WillTheThrillB5,2012-03-19,180,35012,321,53
c_hayes44,2011-06-18,44,32004,1384,4416
CapelaClint,2013-07-15,11,8479,95,320
DwightHoward,2008-10-16,298,6257534,7762,36
JHarden13,2009-06-25,17,3278140,249,5
jasonterry31,2009-04-11,47,1048190,380,574
KJMcDaniels,2009-09-29,37,13517,1539,292
M3Thornton,2010-04-18,16,3893,762,909
MONSTATREZZ,2010-04-16,108,31339,805,723
patbev21,2009-11-24,28,53798,212,88
dekker,2009-04-23,249,144282,468,2364
TerrenceJones1,2009-10-16,47,190142,2987,68
TrevorAriza,2009-08-28,12,73278,477,34
TyLawson3,2009-06-15,35,307689,558,134
TwoShotOne,2009-08-18,87,18088,337,102
Dloading,2011-08-04,67,238692,153,172
JClark5on,2009-09-07,101,114234,717,203
J30_RANDLE,2010-08-21,4,286608,318,118
kobebryant,2013-01-04,22,8525444,207,6
Larrydn22,2010-09-15,72,36972,494,3939
TeamLou23,2009-08-02,118,129341,1002,18
Huertas09,2010-09-02,14,43098,174,16
MettaWorldPeace,2015-05-11,98,4394,436,72
NickSwagyPYoung,2013-12-12,193,335768,277,22
Bobby_Sacre,2013-09-28,1,32631,164,89
Hoya2aPacer,2009-06-05,9,186,322,1211
RyanKelly34,2009-05-03,1,77876,416,119
DamienINGLIS,2011-12-20,23,2829,148,50
M10OSE,2012-11-08,1,36803,475,6
greivisvasquez,2010-04-14,282,597964,1462,71
JabariParker,2011-05-28,11,250385,360,66
jerrydbayless,2012-09-24,8,10451,143,32
Johnhenson31,2010-10-05,59,108304,855,57
Khris22m,2009-07-21,12,14587,310,281
MCW1,2010-06-15,82,133591,340,249
milesplumlee13,2012-07-18,12,37126,163,130
ShowtimeMr1,2011-12-14,19,15879,465,1542
tdot_ennis,2009-09-25,39,50717,709,72
carmeloanthony,2009-05-25,85,7251392,290,31
Clearly_BallLyf,2011-05-24,101,49268,425,17526
JerianGrant,2011-03-21,139,34254,313,78
JmCalderon3,2011-06-01,124,399519,259,1
